11638	3	2	2	1	SOME FILES NOT WORKING I can't view .PNGs without putting them in my favorites. Fix this!!!
11643	1	2	2	1	Unlock panel locked I can no longer access the app after the update. Once at the unlock panel, the number pad doesn't allow input to unlock.
11647	6	1	2	1	HORRIBLE This app is absolutely terrible! It freezes and its not even worth it! My friend has lost important photos because of this app. DON'T GET IT!!!!
11654	1	2	2	1	Used to use it a lot The recent update crashes every time when I tried to view a file on my iPad. It is no longer use able.
11654	6	2	2	1	Used to use it a lot The recent update crashes every time when I tried to view a file on my iPad. It is no longer use able.
11658	1	2	2	1	Dropbox update The update has been installing for a week....
11661	6	2	2	1	YO DREW You can't share folders? How many engineers have you hired? Ugh.
11666	3	2	2	1	3rd time deleting this app Any file size past 15MB has trouble being opened in this app...even on wifi. I'm losing hope that Dropbox will finally make an efficient mobile app for their service.
11666	6	2	2	1	3rd time deleting this app Any file size past 15MB has trouble being opened in this app...even on wifi. I'm losing hope that Dropbox will finally make an efficient mobile app for their service.
11670	1	2	2	1	Unusable with iOS 7 Since upgrading on my iPad I haven't been able to get into my Dropbox App. The iTunes popup repeatedly comes back up no matter how many times you press "Ok".   This also means it is impossible to link any newly installed apps to Dropbox as well.  I found a workaround as the only way to to get out of the app once it's stuck in this loop is to press the iPad sleep button, then swipe the camera as if to take a photo, and then press the home button. This takes you back to the home screen. Unfortunate this has to be done to begin with, PLEASE FIX!
11678	1	1	2	1	Deleting Iphone App hasn't worked in a long while. Pics get stuck in waiting to upload mode. What's the point of even having this on my phone? There isn't one. So I'm deleting. I used to love Dropbox. It's over. It's not me. It's you. You're the one with the issues.
11678	6	1	2	1	Deleting Iphone App hasn't worked in a long while. Pics get stuck in waiting to upload mode. What's the point of even having this on my phone? There isn't one. So I'm deleting. I used to love Dropbox. It's over. It's not me. It's you. You're the one with the issues.
11690	3	4	2	1	Location I don't?? like the fact that it keeps pulling my location,?? it should at least take a break till the next time I use the camera. Great app though
11690	5	4	2	1	Location I don't?? like the fact that it keeps pulling my location,?? it should at least take a break till the next time I use the camera. Great app though
11696	4	2	2	2	Downloads of favorites can't resume? Im on a crappy hotel wifi that goes in and out. Been trying to download a 1gb file for over 2 days now. But for some reason dropbox has not allowed favorited downloads the ability to resume  and instead restarts the download from the beginning every time it fails. It's almost 2014. We have the technology to RESUME A DOWNLOAD what's the problem here?
11703	1	2	2	2	Serious issues with loading since update I can't access my files in dropbox on my iPad. I hasn't loaded for a month! I use dropbox for PDF files for my college classes! Fix this ASAP
